Path,Method,Schema,Model Name,Supported,Datasource,Resource
/apps/routing.eda.nokia.com,GET,AppGroup,app_group,true,true,false
/apps/routing.eda.nokia.com/v1alpha1,GET,ResourceList,resource_list,true,true,false
/apps/routing.eda.nokia.com/v1alpha1/_ui/{pathname},GET,UIResult,,false,false,false
/apps/routing.eda.nokia.com/v1alpha1/defaultinterfaces,GET,com.nokia.eda.routing.v1alpha1.DefaultInterfaceList,,false,false,false
/apps/routing.eda.nokia.com/v1alpha1/defaultrouters,GET,com.nokia.eda.routing.v1alpha1.DefaultRouterList,,false,false,false
/apps/routing.eda.nokia.com/v1alpha1/drains,GET,com.nokia.eda.routing.v1alpha1.DrainList,,false,false,false
/apps/routing.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultinterfaces,DELETE,com.nokia.eda.routing.v1alpha1.DefaultInterfaceList,,false,false,false
/apps/routing.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultinterfaces,GET,com.nokia.eda.routing.v1alpha1.DefaultInterfaceList,default_interface_list,true,true,false
/apps/routing.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultinterfaces,POST,com.nokia.eda.routing.v1alpha1.DefaultInterface,default_interface,true,false,true
/apps/routing.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultinterfaces/_deleted,GET,com.nokia.eda.routing.v1alpha1.DefaultInterface_DeletedResources,,false,false,false
/apps/routing.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultinterfaces/{name},DELETE,Status,default_interface,true,false,true
/apps/routing.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultinterfaces/{name},GET,com.nokia.eda.routing.v1alpha1.DefaultInterface,default_interface,true,true,true
/apps/routing.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultinterfaces/{name},PATCH,Patch,,false,false,false
/apps/routing.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultinterfaces/{name},PUT,com.nokia.eda.routing.v1alpha1.DefaultInterface,default_interface,true,false,true
/apps/routing.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultinterfaces/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/routing.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultinterfaces/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/routing.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultrouters,DELETE,com.nokia.eda.routing.v1alpha1.DefaultRouterList,,false,false,false
/apps/routing.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultrouters,GET,com.nokia.eda.routing.v1alpha1.DefaultRouterList,default_router_list,true,true,false
/apps/routing.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultrouters,POST,com.nokia.eda.routing.v1alpha1.DefaultRouter,default_router,true,false,true
/apps/routing.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultrouters/_deleted,GET,com.nokia.eda.routing.v1alpha1.DefaultRouter_DeletedResources,,false,false,false
/apps/routing.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultrouters/{name},DELETE,Status,default_router,true,false,true
/apps/routing.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultrouters/{name},GET,com.nokia.eda.routing.v1alpha1.DefaultRouter,default_router,true,true,true
/apps/routing.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultrouters/{name},PATCH,Patch,,false,false,false
/apps/routing.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultrouters/{name},PUT,com.nokia.eda.routing.v1alpha1.DefaultRouter,default_router,true,false,true
/apps/routing.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultrouters/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/routing.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultrouters/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/routing.eda.nokia.com/v1alpha1/namespaces/{namespace}/drains,DELETE,com.nokia.eda.routing.v1alpha1.DrainList,,false,false,false
/apps/routing.eda.nokia.com/v1alpha1/namespaces/{namespace}/drains,GET,com.nokia.eda.routing.v1alpha1.DrainList,drain_list,true,true,false
/apps/routing.eda.nokia.com/v1alpha1/namespaces/{namespace}/drains,POST,com.nokia.eda.routing.v1alpha1.Drain,drain,true,false,true
/apps/routing.eda.nokia.com/v1alpha1/namespaces/{namespace}/drains/_deleted,GET,com.nokia.eda.routing.v1alpha1.Drain_DeletedResources,,false,false,false
/apps/routing.eda.nokia.com/v1alpha1/namespaces/{namespace}/drains/{name},DELETE,Status,drain,true,false,true
/apps/routing.eda.nokia.com/v1alpha1/namespaces/{namespace}/drains/{name},GET,com.nokia.eda.routing.v1alpha1.Drain,drain,true,true,true
/apps/routing.eda.nokia.com/v1alpha1/namespaces/{namespace}/drains/{name},PATCH,Patch,,false,false,false
/apps/routing.eda.nokia.com/v1alpha1/namespaces/{namespace}/drains/{name},PUT,com.nokia.eda.routing.v1alpha1.Drain,drain,true,false,true
/apps/routing.eda.nokia.com/v1alpha1/namespaces/{namespace}/drains/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/routing.eda.nokia.com/v1alpha1/namespaces/{namespace}/drains/{name}/_topology,GET,ResourceTopology,,false,false,false
